description,category
Electronics Store HYD 2136 INR  MUM,Shopping
IndiGo Flight Booking  BLR,Travel
Apollo Pharmacy  TXNID 98395,Health
Gaming Steam Purchase  TXNID 99982,Entertainment
Clinic Consultation ,Health
Book Store Purchase Rs 2106,Education
Room Rent UPI ,Rent
MedPlus Medicine Rs 143,Health
Fuel IOC Pump 3232 INR,Travel
Fuel IOC Pump,Travel
IndiGo Flight Booking 4171 INR,Travel
Hotstar Annual Rs 1798,Entertainment
Hostel Canteen  TXNID 93783,Food
Diagnostic Center Test 1361 INR,Health
Subway Sandwich Rs 2638 ,Food
Coursera Course 2643 INR  TXNID 99291,Education
Exam Registration Fee,Education
D Mart Groceries 3515 INR,Shopping
Spotify Premium 3967 INR  TXNID 99705,Entertainment
OLA CAB RIDE ,Travel
MedPlus Medicine,Health
Electricity Bill TSSPDCL Rs 1630  Ref 35802,Utilities
D Mart Groceries,Shopping
Library Fine Rs 941,Education
Netflix Subscription  MUM,Entertainment
IRCTC Catering Rs 1910  Ref 66859,Food
Spotify Premium,Entertainment
Apollo Pharmacy Rs 667  Ref 14257,Health
SWIGGY Order 350 INR,Food
Hostel Canteen  BLR,Food
Fuel IOC Pump,Travel
College Tuition Fee  Ref 33286,Education
Coursera Course Rs 2897,Education
Broadband ACT Fibernet,Utilities
Electronics Store HYD  TXNID 97303,Shopping
Hospital Bill  HYD,Health
Fuel IOC Pump Rs 1174  Ref 38102,Travel
Diagnostic Center Test Rs 1879  Ref 29424,Health
SonyLIV Monthly  Ref 30048,Entertainment
Dominos Pizza HYD 3774 INR,Food
KFC Food Court 470 INR,Food
House Rent Transfer  Ref 33171,Rent
Hospital Bill,Health
Local Kirana Store 1735 INR  TXNID 97231,Shopping
Diagnostic Center Test  TXNID 91352,Health
SWIGGY Order,Food
Apple Store Online Rs 2585,Shopping
Mobile Recharge Jio  MUM,Utilities
Internet Bill JioFiber,Utilities
CCD Cafe Coffee Day  Ref 20244,Food
INOX Multiplex 3782 INR,Entertainment
Electricity Bill TSSPDCL  TXNID 99720,Utilities
Fuel IOC Pump,Travel
D Mart Groceries  TXNID 95074,Shopping
IndiGo Flight Booking ,Travel
Diagnostic Center Test Rs 1708,Health
Rapido Bike Ride  Ref 38668,Travel
Amazon purchase 4706 INR  TXNID 93684,Shopping
Broadband ACT Fibernet 4756 INR,Utilities
Hotstar Annual 603 INR,Entertainment
UBER TRIP HYD 930 INR,Travel
TSRTC BUS TICKET Rs 2914,Travel
INOX Multiplex  BLR,Entertainment
PG Rent Gachibowli 4014 INR,Rent
Flipkart Online 3767 INR,Shopping
Croma Retail 3684 INR  HYD,Shopping
Library Fine Rs 1659  DEL,Education
SonyLIV Monthly,Entertainment
DTH Recharge TataSky 544 INR,Utilities
Starbucks Jubilee Hills Rs 626,Food
Water Bill HMWSSB Rs 2562,Utilities
Myntra Fashion,Shopping
PVR Cinemas Ticket Rs 2254  HYD,Entertainment
Fuel IOC Pump,Travel
Hospital Bill 1794 INR  DEL,Health
Gas Bill HP Rs 2246,Utilities
Diagnostic Center Test Rs 1857,Health
Netflix Subscription Rs 333  TXNID 94820,Entertainment
TSRTC BUS TICKET,Travel
Apple Store Online  TXNID 97458,Shopping
Room Rent UPI Rs 859,Rent
Fuel IOC Pump  TXNID 99082,Travel
Broadband ACT Fibernet Rs 1599,Utilities
Big Bazaar Mall  TXNID 94921,Shopping
Internet Bill JioFiber,Utilities
Petrol Bunk HP  DEL,Travel
DTH Recharge TataSky,Utilities
Big Bazaar Mall,Shopping
Spotify Premium ,Entertainment
PVR Cinemas Ticket Rs 1529,Entertainment
Room Rent UPI 3917 INR,Rent
Rapido Bike Ride,Travel
Play Store Movies Rs 1810  PUNE,Entertainment
Apollo Pharmacy 1446 INR  TXNID 93393,Health
Gaming Steam Purchase Rs 468,Entertainment
Electronics Store HYD 4591 INR  Ref 26775,Shopping
TSRTC BUS TICKET Rs 164  Ref 74267,Travel
INOX Multiplex ,Entertainment
OLA CAB RIDE,Travel
Hostel Fee Payment Rs 1257,Rent
Reliance Trends  BLR,Shopping
PG Rent Gachibowli 145 INR  Ref 50268,Rent
Hotstar Annual,Entertainment
Amazon purchase  Ref 39618,Shopping
TSRTC BUS TICKET Rs 459  TXNID 98060,Travel
Hostel Fee Payment,Rent
Room Rent UPI  DEL,Rent
Mobile Recharge Jio ,Utilities
Hostel Fee Payment 4224 INR,Rent
DTH Recharge TataSky Rs 2497,Utilities
Hostel Canteen Rs 844,Food
UBER TRIP HYD 3772 INR,Travel
Play Store Movies Rs 575 ,Entertainment
Mobile Recharge Airtel  Ref 38473,Utilities
Croma Retail  HYD,Shopping
OLA CAB RIDE,Travel
Internet Bill JioFiber,Utilities
Apollo Pharmacy  Ref 83157,Health
INOX Multiplex 2788 INR ,Entertainment
PVR Cinemas Ticket Rs 143,Entertainment
Udemy Online Course,Education
Apple Store Online Rs 2887  TXNID 94951,Shopping
Myntra Fashion Rs 2716  TXNID 95898,Shopping
Local Kirana Store Rs 461,Shopping
Rapido Bike Ride Rs 1280  HYD,Travel
Library Fine ,Education
Clinic Consultation Rs 1697,Health
KFC Food Court 1801 INR  DEL,Food
KFC Food Court  TXNID 94376,Food
Rapido Bike Ride,Travel
SWIGGY Order Rs 1006,Food
IRCTC Catering,Food
Hotstar Annual,Entertainment
Metro Rail Card Reload Rs 2357,Travel
Health Insurance Premium,Health
Gas Bill HP,Utilities
Mobile Recharge Airtel 4917 INR  HYD,Utilities
Mobile Recharge Jio,Utilities
Fuel IOC Pump Rs 1367  Ref 70753,Travel
Diagnostic Center Test,Health
Apartment Maintenance Fee ,Rent
Metro Rail Card Reload,Travel
Gaming Steam Purchase 4734 INR,Entertainment
PVR Cinemas Ticket  TXNID 92708,Entertainment
UBER TRIP HYD ,Travel
Amazon purchase 1785 INR  Ref 94175,Shopping
Hospital Bill  TXNID 91647,Health
Hostel Fee Payment 2146 INR,Rent
ZOMATO Order 2899 INR  TXNID 93429,Food
Fuel IOC Pump 2985 INR,Travel
Coursera Course 3654 INR,Education
Mobile Recharge Jio  DEL,Utilities
Play Store Movies Rs 1668  TXNID 97009,Entertainment
Apple Store Online 1634 INR,Shopping
PVR Cinemas Ticket Rs 2391  Ref 56945,Entertainment
PG Rent Gachibowli,Rent
PVR Cinemas Ticket  TXNID 96554,Entertainment
Udemy Online Course,Education
Subway Sandwich Rs 1178,Food
Local Kirana Store ,Shopping
Diagnostic Center Test  DEL,Health
Broadband ACT Fibernet Rs 269 ,Utilities
PVR Cinemas Ticket Rs 531 ,Entertainment
Big Bazaar Mall Rs 1149,Shopping
Myntra Fashion 4864 INR,Shopping
PVR Cinemas Ticket 4044 INR  MUM,Entertainment
Amazon purchase 3919 INR  BLR,Shopping
OLA CAB RIDE Rs 862  HYD,Travel
KFC Food Court Rs 2995  MUM,Food
Hostel Fee Payment ,Rent
ZOMATO Order ,Food
Local Kirana Store 2400 INR,Shopping
Hostel Fee Payment,Rent
College Tuition Fee,Education
DTH Recharge TataSky 360 INR,Utilities
INOX Multiplex Rs 1940,Entertainment
McDonalds Drive Thru Rs 2756,Food
UBER TRIP HYD Rs 1631,Travel
College Tuition Fee  TXNID 94333,Education
Apartment Maintenance Fee,Rent
Electricity Bill TSSPDCL Rs 704  Ref 39466,Utilities
Internet Bill JioFiber  TXNID 97572,Utilities
McDonalds Drive Thru 2139 INR,Food
IRCTC Train Ticket,Travel
Electronics Store HYD,Shopping
ZOMATO Order Rs 1112  Ref 89016,Food
CCD Cafe Coffee Day ,Food
Netflix Subscription,Entertainment
Room Rent UPI Rs 1759  Ref 52334,Rent
CCD Cafe Coffee Day  TXNID 92189,Food
Myntra Fashion  Ref 30763,Shopping
OLA CAB RIDE 2935 INR,Travel
PVR Cinemas Ticket,Entertainment
Broadband ACT Fibernet 3148 INR,Utilities
Hospital Bill Rs 295,Health
Diagnostic Center Test 1020 INR,Health
IRCTC Train Ticket  Ref 20733,Travel
IRCTC Train Ticket  MUM,Travel
Big Bazaar Mall,Shopping
IRCTC Catering ,Food
Reliance Trends ,Shopping
Flipkart Online,Shopping
Rapido Bike Ride Rs 1396  Ref 14706,Travel
IRCTC Catering,Food
Local Kirana Store 4927 INR,Shopping
Metro Rail Card Reload Rs 91,Travel
SWIGGY Order 2721 INR,Food
Spotify Premium  TXNID 98465,Entertainment
IRCTC Catering Rs 1432,Food
Udemy Online Course 2136 INR,Education
UBER TRIP HYD  Ref 89331,Travel
McDonalds Drive Thru,Food
Rapido Bike Ride,Travel
McDonalds Drive Thru Rs 1599,Food
Electronics Store HYD Rs 2458  Ref 72684,Shopping
CCD Cafe Coffee Day,Food
PG Rent Gachibowli Rs 2466  TXNID 99873,Rent
Netflix Subscription Rs 770,Entertainment
Amazon purchase 4336 INR,Shopping
Apollo Pharmacy Rs 448  Ref 42318,Health
Netflix Subscription,Entertainment
Mobile Recharge Jio,Utilities
Amazon purchase,Shopping
Diagnostic Center Test 4514 INR  TXNID 97880,Health
Myntra Fashion Rs 2043,Shopping
Amazon purchase  Ref 37253,Shopping
